EMP_NUM,EMP_NAME,JOB_CLASS
101,John G. News,Database Designer
102,David S. Senior,System Analyst
103,June E. Arbough,Elect. Engineer
104,Anne K. Ramoras,System Analyst
105,Alice K. Johnson,Database Designer
106,William Smithfield,Programmer
107,Maria D. Alonzo,Programmer
108,Ralph B. Washington,System Analyst
111,Geoff B. Wabash,Clerical Support
112,Darlene M. Smiothson,DSS Analyst
113,Delbert K. Joenbrood,Application Designer
114,Annelise Jones,Application Designer
115,Travis B. Bawangi,System Analyst
118,James J. Frommer,General Support
